cnpj;DT_COMPTC;VL_PATRIM_LIQ
03300371000187;2026-03-12;10254114.66
03303563000147;2026-03-12;110395617.48
03303568000170;2026-03-12;46967719.52
03303723000158;2026-03-12;85957850.94
03303756000106;2026-03-12;120302813.86
03307621000100;2026-03-12;95449954.48
03308718000138;2026-03-12;266034200.33
03319016000150;2026-03-12;112759414.13
03322908000100;2026-03-12;185493108.80
03336760000162;2026-03-12;163595369.76
03336770000106;2026-03-12;4201659.03
03336931000153;2026-03-12;39912780.96
03364021000184;2026-03-12;107979969.72
03364147000159;2026-03-12;28254737.56
03364790000182;2026-03-12;315410708.98
03366545000104;2026-03-12;2155486239.78
03369970000157;2026-03-12;58442512.45
03370003000105;2026-03-12;1169682155.19
03374369000152;2026-03-12;273868000.51
03374465000109;2026-03-12;345053325.82
03374487000160;2026-03-12;28238808.03
03374499000195;2026-03-12;59783020.10
03381358000108;2026-03-12;646264531.32
03384182000130;2026-03-12;866795.76
03386180000180;2026-03-12;16014567.82
03389374000139;2026-03-12;121024003376.32
03394711000186;2026-03-12;130561214.04
03398407000107;2026-03-12;21630723.16
03399411000190;2026-03-12;30536622413.95
03408336000186;2026-03-12;10267303.42
03409453000164;2026-03-12;2252391.00
03416010000109;2026-03-12;11132920.98
03438278000133;2026-03-12;130347251.95
03438284000190;2026-03-12;40991465.72
03438288000179;2026-03-12;187411974.92
03441485000147;2026-03-12;1447356.44
03469379000171;2026-03-12;27049983.95
03469407000150;2026-03-12;1676530.90
03469422000107;2026-03-12;1724660.77
03497804000136;2026-03-12;212281473.88
03499367000190;2026-03-12;252832475.17
03499625000138;2026-03-12;15060525.10
03503382000164;2026-03-12;4538746569.11
03504010000152;2026-03-12;1799636045.70
03504023000121;2026-03-12;37749289690.78
03507865000137;2026-03-12;506782426.60
03507873000183;2026-03-12;17088738.82
03515596000150;2026-03-12;3148885275.50
03519674000195;2026-03-12;53930975.78
03519706000152;2026-03-12;3517593893.80
03524814000113;2026-03-12;1550428518.85
03534576000127;2026-03-12;78146638.33
03534590000120;2026-03-12;31984577.36
03534936000190;2026-03-12;1338930489.39
03534939000124;2026-03-12;189560186.57
03536908000102;2026-03-12;5206581.40
03536912000170;2026-03-12;8321295.66
03537355000102;2026-03-12;134249284.46
03537367000137;2026-03-12;43020004.09
03537379000161;2026-03-12;3988999443.93
03537384000174;2026-03-12;697979873.73
03537407000140;2026-03-12;34866412913.51
03537415000197;2026-03-12;86392919.88
03537456000183;2026-03-12;98278619.23
03537485000145;2026-03-12;96395460.84
03537494000136;2026-03-12;177869123.25
03537505000188;2026-03-12;34127012.22
03540224000184;2026-03-12;21604697.75
03543447000103;2026-03-12;3659981284.94
03547677000132;2026-03-12;4223572.60
03553305000119;2026-03-12;8756454008.47
03553574000185;2026-03-12;1431006.73
03555959000181;2026-03-12;788104897.66
03557198000105;2026-03-12;1484079175.74
03564113000108;2026-03-13;1285971.75
03564809000134;2026-03-12;1147160877.05
03564825000127;2026-03-12;67135064.41
03565131000104;2026-03-12;38949644.33
03565137000181;2026-03-12;3907468.60
03565187000169;2026-03-12;1215344.23
03565192000171;2026-03-12;3160499.79
03567283000146;2026-03-12;56814258.37
03573793000126;2026-03-12;452539731.15
03573825000193;2026-03-11;10709533.04
03573959000104;2026-03-12;406768177.14
03574147000183;2026-03-12;733378147.50
03583239000120;2026-03-12;32415172.99
03589367000180;2026-03-12;26488438.80
03589391000110;2026-03-12;88759997.02
03593150000144;2026-03-12;231008927.68
03593195000119;2026-03-12;4183894653.79
03596908000106;2026-03-12;39169459.28
03597057000108;2026-03-12;35697072.38
03597122000103;2026-03-12;394075942.26
03600987000173;2026-03-12;1721794144.67
03601000000135;2026-03-12;3302790791.89
03601017000192;2026-03-12;8267721969.85
03601022000103;2026-03-12;85147907.61
03618010000183;2026-03-12;7882558.61
03618202000190;2026-03-12;1282214.19
03618256000155;2026-03-12;2509393806.75
03618257000108;2026-03-12;46300490.73
03618274000137;2026-03-13;567690018.81
03618276000126;2026-03-12;116405081.05
03618607000128;2026-03-12;589574090.49
03644263000121;2026-03-12;4281807.42
03652358000197;2026-03-12;93143637.47
03660879000196;2026-03-12;225465117.85
03680180000198;2026-03-12;136796461.43
03680327000140;2026-03-12;114528796.47
03691031000124;2026-03-12;114082233.33
03691061000130;2026-03-12;1160217.27
03693695000122;2026-03-12;1441296259.62
03699942000106;2026-03-12;3013771.72
